INSTNM,CITY,STABBR,CONTROL,LATITUDE,LONGITUDE,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,DEBT_MDN,ADM_RATE,SAT_AVG,ACTCM50,UGDS
Chamberlain University-Florida,Jacksonville,FL,3,30.243517,-81.586421,34657.0,19686.0,19686.0,92405.0,16458,1.0,,,839.0
University of Fort Lauderdale,Lauderhill,FL,2,26.147098,-80.204938,20726.0,9810.0,9810.0,38062.0,5500,,,,259.0
Pacific Rim Christian University,Honolulu,HI,2,21.328198,-157.888379,24042.0,12380.0,12380.0,40523.0,13616,,,,113.0
City Vision University,Kansas City,MO,2,39.101164,-94.569475,12568.0,6400.0,6400.0,21123.0,PS,,,,188.0
Ascent College,Gainesville,VA,2,38.805988,-77.624657,,7680.0,7680.0,,PS,,,,85.0
West Coast University-Orange County,Anaheim,CA,3,33.81104,-117.911811,38599.0,22685.0,22685.0,102672.0,24145,,,,3168.0
West Coast University-Ontario,Ontario,CA,3,34.066591,-117.590035,51950.0,37194.0,37194.0,102672.0,24145,,,,2647.0
Strayer University-Arkansas,Little Rock,AR,3,34.745489,-92.271192,,13920.0,13920.0,40092.0,14000,,,,456.0
Strayer University-Georgia,Chamblee,GA,3,33.870686,-84.267177,23838.0,13920.0,13920.0,40092.0,14000,,,,4878.0
Strayer University-Mississippi,Jackson,MS,3,32.300562,-90.188097,,13920.0,13920.0,40092.0,14000,,,,400.0
Strayer University-South Carolina,Greenville,SC,3,34.839766,-82.399535,23838.0,13920.0,13920.0,40092.0,14000,,,,1830.0
Strayer University-Texas,Farmers Branch,TX,3,32.910744,-96.887509,23838.0,13920.0,13920.0,40092.0,14000,,,,2397.0
South University-Richmond,Glen Allen,VA,3,37.64706,-77.599967,33875.0,18238.0,18238.0,34421.0,13000,,,,244.0
South University-Virginia Beach,Virginia Beach,VA,3,36.8336,-76.124288,33875.0,18238.0,18238.0,34421.0,13000,,,,252.0
